objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237652944784130000,355.7634236782,16.0036633165,19.55606,18.09136,17.50999,17.2733,17.16863,1739,301,6,275,3524177838615930000,STAR,-0.000208298,3130,54740,404
1237667541217710000,152.2159968585,20.8693530433,17.70601,15.9307,15.15408,14.83201,14.67406,5138,301,2,80,3579365627258840000,STAR,-0.0002836825,3179,54830,472
1237670965915880000,125.1946716335,10.8417915126,18.25135,17.10557,17.02999,17.04401,17.09924,5935,301,5,59,2728120964830230000,STAR,0.0001988365,2423,54149,238
1237661971722140000,184.282049692,7.6243470344,14.50678,12.67902,11.74664,11.29956,10.91847,3841,301,4,130,1828637152502640000,GALAXY,0.007589578,1624,53386,639
1237659346953310000,201.1701178632,7.1247036639,18.86066,17.91374,17.56237,17.26353,17.13068,3230,301,3,24,2025630331511530000,GALAXY,0.1202669,1799,53556,496
1237661360767240000,220.2947281571,40.8945752657,17.75587,16.547,16.67694,16.7778,16.88097,3699,301,2,194,3812387877359300000,STAR,-0.0005092606,3386,54952,330
1237648704598900000,233.2767636668,0.1097755073,18.33835,17.92571,17.97934,17.73849,17.90012,752,301,4,599,354742611195488000,QSO,0.5891979,315,51663,306
1237651539253920000,212.3569879929,65.4516845555,18.1791,16.4409,15.68268,15.29602,15.01465,1412,301,4,242,560840298771540000,GALAXY,0.035471,498,51984,517
1237650761318530000,183.8969811312,-2.8246940663,18.73704,17.19846,16.40504,15.85978,15.5337,1231,301,3,98,375000024330824000,GALAXY,0.06795124,333,52313,274
1237650370486270000,189.8541471379,-2.6365991438,16.58941,15.12915,14.56525,14.38807,14.31969,1140,301,3,247,3261819793098960000,STAR,0.0001042941,2897,54585,319
1237662341086970000,241.4590468028,27.2453305156,18.25378,16.58313,15.89249,15.52189,15.30048,3927,301,4,94,1567415720269080000,GALAXY,0.04541309,1392,52822,593
1237672816514760000,349.747156806,18.537689626,19.23088,17.96239,17.82065,17.78402,17.82338,6366,301,4,133,8564802895643690000,STAR,-0.0001108782,7607,56902,299
1237671256369140000,66.518205432,17.1206537697,19.05087,16.49607,14.96787,13.62782,12.39726,6003,301,2,152,1843233437629050000,STAR,8.571768E-005,1637,52992,492
1237667209983750000,162.380253308,26.931935147,19.19823,18.25712,17.95183,17.83488,17.85274,5061,301,1,315,11792819247155300000,STAR,4.310256E-005,10474,58143,522
1237652947453870000,4.5464394316,-10.1486425697,18.98182,18.76069,18.52694,18.76616,18.77156,1740,301,3,52,2153934263559420000,QSO,1.009654,1913,53321,319
1237646796526450000,120.0785001009,-0.337299182,19.247,17.76603,17.23602,17.06848,17.01554,308,301,2,92,8389144640377610000,STAR,-4.955852E-006,7451,56739,234
1237662194520360000,166.1483471863,40.9173310147,19.27853,17.84394,17.2698,17.09478,17.00042,3893,301,3,81,3744818489634960000,STAR,-0.0001880124,3326,54943,274
1237657629507260000,121.9698812435,30.596310787,18.00844,16.14261,15.26032,14.82084,14.48173,2830,301,4,85,968443833337538000,GALAXY,0.0753201,860,52319,618
1237671939808950000,280.94441038,63.8536266328,17.05414,15.3938,14.82571,14.64987,14.59573,6162,301,3,200,2873315056794230000,STAR,-4.185986E-005,2552,54632,67
1237668332034720000,235.645977595,11.237993574,17.6707,16.74593,16.44862,16.33895,16.31479,5322,301,3,174,2832811515768240000,STAR,-0.000375896,2516,54241,172
1237666300021440000,56.5150866651,-0.4506254518,18.68885,17.21283,16.21164,15.69178,15.31163,4849,301,2,832,1195735981576190000,GALAXY,0.1307159,1062,52619,110
1237673709863170000,127.0644567229,-4.7584326526,18.71531,17.14026,16.55916,16.34495,16.24414,6574,301,4,60,3160472856014380000,STAR,-1.08831E-005,2807,54433,261
1237648705120500000,198.2950881094,0.4267763757,18.84097,17.42277,16.88515,16.69957,16.61958,752,301,5,366,8394932469384890000,STAR,-1.988818E-005,7456,56727,810
1237659326031990000,251.861102317,34.8853168471,19.55523,18.05228,17.34426,16.85829,16.57435,3225,301,4,278,1323073174853680000,GALAXY,0.099711,1175,52791,512
1237659326015080000,205.4305427432,58.7465301193,18.65519,17.21725,16.47773,16.0544,15.73592,3225,301,4,20,1081017333125770000,GALAXY,0.0831833,960,52425,558
1237659326033760000,254.7394289919,31.6613516396,18.53769,16.76773,15.83042,15.28039,14.85233,3225,301,4,305,1324077303847740000,GALAXY,0.0699736,1176,52791,69
1237667781218860000,172.0281720436,20.7243825336,19.42308,18.17994,17.48728,17.09057,16.8367,5194,301,1,383,2812623931318490000,GALAXY,0.1318852,2498,54169,458
1237667781220430000,175.9269623718,21.1340852993,19.54121,18.2247,17.59404,17.23429,17.05146,5194,301,1,407,2822646799523670000,GALAXY,0.08999132,2507,53876,57
1237654391638590000,117.0204999814,37.1743919276,19.05627,17.65055,16.94947,16.51911,16.22557,2076,301,5,82,611456042231949000,GALAXY,0.08417211,543,52017,336
1237661362376410000,216.9492188226,43.3719147333,18.6736,17.38816,16.72621,16.33508,16.07017,3699,301,5,172,1570766756882970000,GALAXY,0.09651551,1395,52825,496
1237679457071330000,356.8873432469,17.8170815758,18.80651,17.86504,17.52664,17.39552,17.33751,7912,301,5,137,6905314108004130000,STAR,9.236109E-005,6133,56246,618
1237656240626930000,340.5675611803,12.6031069441,18.65181,17.08217,16.52044,16.28497,16.23436,2507,301,1,157,2130227142204610000,STAR,-4.173387E-005,1892,53238,89
1237659326030740000,249.6977228374,37.0942808011,18.90989,17.7664,17.24068,16.86941,16.64731,3225,301,4,259,1321906867743520000,GALAXY,0.09924271,1174,52782,365
1237654954816240000,254.0667049897,42.8508324466,19.18893,18.19846,17.83775,17.69513,17.6677,2207,301,6,83,9606310630920580000,STAR,-0.0005090453,8532,58022,482
1237667781231840000,203.7474529017,20.1781728795,19.04156,17.73393,17.09288,16.69314,16.44939,5194,301,1,581,2973659504857610000,GALAXY,0.06960275,2641,54230,574
1237664669515190000,172.6484291938,40.1715305938,18.53759,17.76973,17.24861,16.88393,16.70726,4469,301,5,385,2247453501867190000,QSO,0.1217393,1996,53436,572
1237654391644160000,127.8174945778,47.1443528866,18.37253,16.80646,16.0381,15.6146,15.32657,2076,301,5,167,618249923975997000,GALAXY,0.07831216,549,51981,476
1237667442968360000,178.0437119449,27.3183327404,19.06525,18.15289,17.87147,17.77844,17.75997,5115,301,3,50,7208133905421190000,STAR,0.0004902042,6402,56334,446
1237678889596160000,29.290891688,-2.1694400956,19.03948,18.75217,18.91041,18.80953,18.69284,7780,301,4,97,10558702106164100000,QSO,0.5203913,9378,58071,46
1237668349755390000,235.3182004828,11.4519201017,17.9222,16.90173,16.62351,16.44603,16.31255,5326,301,4,234,2832817837960100000,GALAXY,0.03782271,2516,54241,195
1237659327110050000,259.2631375851,27.2769514165,16.43814,16.68784,17.15319,17.48053,17.78007,3225,301,6,344,5632985631712100000,STAR,-8.429576E-005,5003,55715,394
1237663788488920000,113.5298345316,45.7503396801,18.14476,17.13474,16.79283,16.66507,16.62444,4264,301,4,63,6690291964204830000,STAR,-0.0007826039,5942,56210,708
1237666210875700000,312.2886980313,3.2287927631,19.52953,17.98656,17.38184,17.14806,17.01073,4828,301,4,448,3169523210781750000,STAR,-1.380712E-005,2815,54414,418
1237660765369660000,119.6758265332,23.3575737401,18.00731,16.07911,15.17662,14.68999,14.3329,3560,301,5,76,1423276890763850000,GALAXY,0.04498824,1264,52707,507
1237651504344530000,205.9280312376,-0.1856856472,19.26751,18.06564,17.4478,17.03432,16.80926,1404,301,3,47,336663891389999000,GALAXY,0.08727421,299,51671,72
1237651504342700000,201.7536517117,-0.1555081399,18.32765,17.16866,16.73375,16.4772,16.32472,1404,301,3,19,334441783222102000,GALAXY,0.07769189,297,51959,180
1237663918409970000,112.496295563,45.8559839792,17.60445,17.65392,17.94318,18.18256,18.37436,4294,301,6,37,2101023564890140000,STAR,-9.019608E-005,1866,53314,343
1237666338650850000,13.7299571997,-0.4284355074,19.48625,17.60057,16.65628,16.19427,15.87965,4858,301,2,446,779166203171072000,GALAXY,0.1157107,692,52201,158
1237666338651110000,14.259446562,-0.5268625219,19.51479,18.60824,17.84822,17.54648,17.22618,4858,301,2,450,1219412313551960000,GALAXY,0.2684679,1083,52520,228
1237666338653670000,20.2330257439,-0.6205509949,19.43272,17.51756,16.53499,16.1376,15.77138,4858,301,2,489,448114515129690000,GALAXY,0.09304526,398,51789,23
1237651538714890000,200.2851454081,66.7125054185,19.2836,19.04084,18.70977,18.87114,18.94315,1412,301,3,209,558579702931941000,QSO,1.010932,496,51988,485
1237657587096680000,37.8111699161,0.6831097772,18.51609,18.53256,18.84163,19.06669,19.42637,2820,301,5,119,4216649170566800000,QSO,1.500643,3745,55234,560
1237657632190690000,150.3224387213,51.0194960383,19.54207,18.3415,17.56216,17.14357,16.9023,2831,301,1,71,1132777122629180000,GALAXY,0.1731885,1006,52708,443
1237651755076680000,163.1229590467,3.1921032025,19.51083,19.2342,18.867,18.83413,18.83972,1462,301,6,252,570976152902986000,QSO,1.164639,507,52353,527
1237651755078580000,167.4129082374,3.2575673358,17.75452,16.84839,16.49037,16.36616,16.34642,1462,301,6,281,5370631165782020000,STAR,0.0004979549,4770,55928,322
1237650369414890000,195.2816098748,-3.4376432104,19.42097,17.33603,16.39582,15.97862,15.66293,1140,301,1,283,380565466927622000,GALAXY,0.08786678,338,51694,41
1237668330964580000,243.6079951819,8.3997087139,19.45091,18.4549,18.18786,18.072,18.00937,5322,301,1,229,2847472684462270000,STAR,6.240248E-005,2529,54585,261
1237670965928130000,153.2485948364,17.757326212,19.23615,18.37535,18.01011,17.82666,17.756,5935,301,5,246,3578170183543530000,STAR,-0.000284186,3178,54848,219
1237667538011420000,159.7712178702,22.9022067332,18.18608,18.04931,17.75193,17.73256,17.78253,5137,301,4,308,7235187389022620000,QSO,1.088803,6426,56334,562
1237667538012010000,161.1843151087,23.1394411991,19.2641,17.77944,17.10706,16.82521,16.66497,5137,301,4,317,3660407331679740000,STAR,-0.0001976791,3251,54882,388
1237665441514130000,190.5874847413,29.5967728581,19.01986,17.97028,17.60195,17.38128,17.24375,4649,301,3,58,2518679937272010000,GALAXY,0.02861883,2237,53828,152
1237665441518450000,201.8025043009,28.7063322913,17.79848,16.62523,16.1214,15.78802,15.59037,4649,301,3,124,2227104565914790000,GALAXY,0.06163849,1978,53473,271
1237665441522910000,213.0546888344,26.5811405114,18.17842,16.28995,15.45179,15.06194,14.75118,4649,301,3,192,2394887572888250000,GALAXY,0.03554511,2127,53859,358
1237668294984140000,170.2752876793,20.4381292797,17.9915,16.87259,16.37717,16.1109,16.06733,5313,301,6,75,2810316331440700000,GALAXY,0.01449215,2496,54178,255
1237660241925310000,52.2944521992,0.9437850517,18.22337,17.08613,16.64476,16.45212,16.36473,3438,301,6,149,802859029096327000,STAR,0.0001755015,713,52178,336
1237667783884280000,127.2210081284,13.4058462481,19.39792,18.01342,17.43332,17.188,17.06871,5194,301,6,94,3597311581203050000,STAR,0.0003396674,3195,54832,223
1237652947453870000,4.6173621597,-10.1510653889,18.17878,17.21789,16.93514,16.83347,16.78802,1740,301,3,52,2152804514892110000,STAR,-0.0002611902,1912,53293,305
1237652947455970000,9.4579559902,-10.1110593138,19.0098,17.45665,16.80615,16.57423,16.44571,1740,301,3,84,3495929462179080000,STAR,7.839563E-005,3105,54825,37
1237652947455970000,9.4141065027,-10.1671514358,18.28469,17.14063,17.30104,17.44393,17.51886,1740,301,3,84,3495927812911640000,STAR,-0.0004371901,3105,54825,31
1237661386546220000,250.8957735569,31.8329014236,16.74358,15.54589,15.49015,15.52989,15.62185,3705,301,2,334,1509873328381260000,STAR,-0.0004351331,1341,52786,151
1237671939801870000,244.8432451513,62.4074389931,18.34585,16.74716,16.15337,15.92706,15.86371,6162,301,3,92,2871129495409030000,STAR,-0.0008222606,2550,54206,308
1237654383587890000,134.9559901337,52.1978483851,19.20184,17.57255,16.81396,16.38663,16.12541,2074,301,6,118,621593264142707000,GALAXY,0.08246996,552,51992,351
1237673706655250000,125.0116201273,43.6318642419,19.22186,18.26031,17.87814,17.75106,17.69941,6573,301,6,263,7183324525152720000,STAR,-0.0006120363,6380,56340,302
1237652943159030000,321.9956347503,11.0404931572,17.15985,15.68903,15.07211,14.8068,14.66905,1739,301,3,54,2206826819632600000,STAR,-0.0006677411,1960,53289,229
1237652943167290000,341.0545229761,13.6933979519,18.92003,17.79638,17.31302,17.12004,17.01463,1739,301,3,180,3521968920359710000,STAR,-0.0002000075,3128,54776,560
1237662701326630000,244.8658665147,53.4571097079,17.89678,16.63098,16.02106,15.61778,15.36955,4011,301,3,83,8516311407557630000,GALAXY,0.05904589,7564,56804,16
1237662530061860000,204.1018642434,14.3726672311,18.66789,16.71254,15.80474,15.36594,15.04331,3971,301,4,38,1999692857279010000,GALAXY,0.0663957,1776,53858,344
1237663229614230000,333.7240747802,69.4285046787,18.82682,17.19145,16.41846,16.07374,15.83834,4134,301,3,184,2856537047114480000,STAR,-0.000118766,2537,53917,469
1237660962399720000,131.2241271355,30.931901698,18.91435,17.81815,17.2089,16.81817,16.59966,3606,301,4,52,1429967973539410000,GALAXY,0.1077472,1270,52991,273
1237659326029890000,248.1332894451,38.498813843,18.89538,17.69019,17.07961,16.72499,16.54305,3225,301,4,246,1320821924779030000,GALAXY,0.08214046,1173,52790,514
1237659326029300000,247.0593196321,39.545605467,18.20925,16.43866,15.67081,15.29014,15.01703,3225,301,4,237,1319597618061400000,GALAXY,0.02602707,1172,52759,156
1237659326029100000,246.5592665516,39.9671829826,16.2158,14.77393,14.17668,13.86373,13.6272,3225,301,4,234,1319682280456740000,GALAXY,0.0324478,1172,52759,464
1237659326031920000,251.6562597905,34.8969421131,17.13482,16.11982,15.7357,15.4673,15.29792,3225,301,4,277,1323048435842050000,GALAXY,0.03734571,1175,52791,422
1237655472893400000,246.0661307766,42.2742575963,19.26835,17.90364,16.90924,16.48364,16.13229,2328,301,3,33,917646946812848000,GALAXY,0.1736433,815,52374,140
1237661361841310000,221.6379393094,41.3323228564,19.04668,17.97255,17.66052,17.49744,17.38869,3699,301,4,199,1572989149693110000,GALAXY,0.01824419,1397,53119,389
1237649768105580000,358.7683399477,55.7317974385,17.7854,15.21376,14.09978,13.48331,13.31116,1000,301,1,71,2676332590121720000,STAR,-0.0002537189,2377,53991,249
1237651539252220000,202.9979274239,66.7325402714,17.95651,17.07364,16.76152,16.60859,16.48341,1412,301,4,216,558457107385444000,GALAXY,0.01559545,496,51988,39
1237654954817680000,256.2442094808,39.8924772146,17.1081,15.95585,15.87906,15.90253,15.90869,2207,301,6,105,2455742787086220000,STAR,-0.0002666793,2181,53524,564
1237654879130290000,223.6928774849,2.9373374292,17.46526,16.57482,16.25683,16.12339,16.06477,2190,301,1,279,662053918544521000,STAR,-0.0003059013,588,52045,90
1237680283849000000,21.8499148011,27.9348775792,19.38315,18.36224,18.0077,17.88867,17.81472,8105,301,1,83,8650342447036260000,STAR,-0.0009621037,7683,58133,194
1237661813345090000,176.8190512775,12.8206326896,19.38188,19.00717,18.70451,18.69566,18.45488,3804,301,5,128,1810609280814970000,QSO,0.8953385,1608,53138,590
1237668349743200000,207.0943798405,16.4043988472,18.29732,16.99755,16.42322,16.12302,15.89673,5326,301,4,48,3087266268969990000,GALAXY,0.03987529,2742,54233,177
1237680504502220000,331.3105344199,30.5087478376,19.48668,17.54892,16.56899,16.11895,15.74729,8156,301,4,72,6711640635919850000,GALAXY,0.06499083,5961,56460,550
1237665126939160000,200.9770830322,32.793846094,18.69354,17.29694,16.68242,16.42502,16.29986,4576,301,1,537,3802315526181590000,STAR,-0.000298991,3377,54950,551
1237665126944740000,215.4485979151,29.8616041044,19.01202,18.58681,18.62246,18.70192,18.88085,4576,301,1,622,2397052242998880000,STAR,-0.0001934648,2129,54252,41
1237648704592220000,217.9071841287,0.1668805919,18.9774,17.89468,17.52629,17.38422,17.29531,752,301,4,497,344660913766296000,STAR,-0.0001046868,306,51637,493
1237667209987620000,172.1186702697,28.290334821,19.47292,19.31175,18.96132,19.02427,19.11249,5061,301,1,374,3627758707946920000,QSO,1.039428,3222,54862,397
